pair_id,province,year,image_a,image_b,lat_a,lon_a,lat_b,lon_b
settat_165398,Settat,2025,Settat/2025/32.62808_-7.59413_2025_Settat.jpg,,32.628085,-7.594125,,
settat_165894,Settat,2025,Settat/2025/32.55086_-7.49326_2025_Settat.jpg,,32.550857,-7.493262,,
settat_166603,Settat,2025,Settat/2025/33.00899_-7.78146_2025_Settat.jpg,,33.008995,-7.781463,,
settat_167624,Settat,2025,Settat/2025/32.97543_-7.64581_2025_Settat.jpg,,32.975432,-7.645812,,
settat_173473,Settat,2025,Settat/2025/32.90642_-7.56532_2025_Settat.jpg,,32.906418,-7.565316,,
settat_174679,Settat,2025,Settat/2025/32.91794_-7.56341_2025_Settat.jpg,,32.917942,-7.563411,,
settat_175077,Settat,2025,Settat/2025/32.93805_-7.54728_2025_Settat.jpg,,32.93805,-7.547283,,
settat_175817,Settat,2025,Settat/2025/32.92909_-7.52998_2025_Settat.jpg,,32.929093,-7.529983,,
settat_176041,Settat,2025,Settat/2025/32.93489_-7.53516_2025_Settat.jpg,,32.934889,-7.535158,,
settat_176156,Settat,2025,Settat/2025/32.94173_-7.52557_2025_Settat.jpg,,32.941731,-7.525568,,
settat_176248,Settat,2025,Settat/2025/32.94021_-7.51874_2025_Settat.jpg,,32.940207,-7.518738,,
settat_176249,Settat,2025,Settat/2025/32.93959_-7.51825_2025_Settat.jpg,,32.939595,-7.518254,,
settat_176514,Settat,2025,Settat/2025/32.86837_-7.51379_2025_Settat.jpg,,32.868373,-7.513793,,
settat_177310,Settat,2025,Settat/2025/32.90497_-7.51413_2025_Settat.jpg,,32.904968,-7.51413,,
settat_177416,Settat,2025,Settat/2025/32.90757_-7.50906_2025_Settat.jpg,,32.907572,-7.509058,,
settat_177900,Settat,2025,Settat/2025/32.94011_-7.51239_2025_Settat.jpg,,32.940108,-7.512388,,
settat_179272,Settat,2025,Settat/2025/32.89659_-7.44677_2025_Settat.jpg,,32.896589,-7.446773,,
